id,case_number,date,block,iucr_code,primary_type,description,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10000016,TE671891,01/18/2021 04:22,28XX W CLARK ST,0750,THEFT,THEFT $500 AND UNDER,,False,False,112,24,5.0,6.0,17,1156311.0,1903556.0,2021,01/26/2021 04:22,41.69611401,-87.7542853,"(41.69611401, -87.7542853)"
10000017,VC968747,01/13/2022 10:44,44XX N DIVISION ST,0620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,False,False,221,10,44.0,77.0,19,1183076.0,1855516.0,2022,02/07/2022 10:44,41.70232074,-87.64017643,"(41.70232074, -87.64017643)"
10000018,ON124524,10/02/2017 20:05,44XX E CLARK ST,0730,THEFT,SHOPLIFTING,CTA BUS,False,False,2011,16,16.0,60.0,08A,1159091.0,1866969.0,2017,10/11/2017 20:05,41.69861,-87.54471415,"(41.69861, -87.54471415)"
10000019,TH575982,12/14/2020 13:47,24XX S PULASKI RD,0750,THEFT,THEFT $500 AND UNDER,RETAIL STORE,False,False,621,11,,59.0,26,1187144.0,1926070.0,2020,01/01/2021 13:47,41.9063853,-87.70533562,"(41.9063853, -87.70533562)"
10000020,DV902545,06/11/2023 15:55,63XX N STATE ST,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,1411,20,19.0,61.0,11,1173886.0,1915769.0,2023,06/12/2023 15:55,41.70541302,-87.51768092,"(41.70541302, -87.51768092)"
10000021,SS469766,04/20/2023 07:48,5XX S BROADWAY,0460,BATTERY,SIMPLE,CTA TRAIN,True,False,211,24,14.0,34.0,08B,1172525.0,1897504.0,2023,04/27/2023 07:48,41.71251946,-87.79919728,"(41.71251946, -87.79919728)"
10000022,AF685078,09/03/2021 19:36,56XX E CLARK ST,0750,THEFT,THEFT $500 AND UNDER,ALLEY,False,False,1221,10,29.0,16.0,02,1174689.0,1856435.0,2021,10/03/2021 19:36,41.97280287,-87.64985835,"(41.97280287, -87.64985835)"
10000023,IZ459654,01/09/2016 15:26,12XX E CLARK ST,0740,THEFT,THEFT OVER $500,GROCERY FOOD STORE,False,False,321,11,43.0,14.0,13,1190678.0,1894007.0,2016,01/20/2016 15:26,41.77646534,-87.51644194,"(41.77646534, -87.51644194)"
10000024,YH744441,10/31/2022 15:01,83XX S FULLERTON AVE,0730,THEFT,SHOPLIFTING,OTHER,False,False,712,22,16.0,21.0,04A,1195646.0,1886915.0,2022,11/21/2022 15:01,41.71796276,-87.50232286,"(41.71796276, -87.50232286)"
10000025,GU077836,09/10/2020 11:00,25XX S NORTH AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT / GARAGE(NON.RESID.),False,False,1511,10,38.0,75.0,09,1188143.0,1880176.0,2020,09/20/2020 11:00,41.83530242,-87.70026801,"(41.83530242, -87.70026801)"
10000026,QX456262,11/24/2020 21:00,69XX W MADISON ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,122,5,27.0,20.0,20,1182491.0,1918141.0,2020,12/18/2020 21:00,41.79156837,-87.59218862,"(41.79156837, -87.59218862)"
10000027,XD422089,07/08/2015 12:03,80XX S FULLERTON AVE,0610,BURGLARY,FORCIBLE ENTRY,ALLEY,False,False,312,12,24.0,56.0,11,1158753.0,1898759.0,2015,07/18/2015 12:03,41.89454011,-87.74598293,"(41.89454011, -87.74598293)"
10000028,VX728212,05/22/2018 09:24,2XX N FULLERTON AVE,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE(NON.RESID.),False,False,1011,17,7.0,31.0,08A,1198897.0,1902658.0,2018,06/19/2018 09:24,41.98780761,-87.71143077,"(41.98780761, -87.71143077)"
10000029,TI191987,01/05/2016 21:20,33XX W BROADWAY,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,311,15,12.0,26.0,05,,1871802.0,2016,01/29/2016 21:20,41.95293818,-87.69024274,"(41.95293818, -87.69024274)"
10000030,DB091253,07/22/2021 13:40,90XX E DIVISION ST,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,True,False,1411,4,44.0,30.0,13,1161068.0,1855057.0,2021,08/03/2021 13:40,41.85842221,-87.52542323,"(41.85842221, -87.52542323)"
10000031,RQ507215,02/19/2018 03:23,16XX W HALSTED ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,True,False,912,16,29.0,31.0,06,1167933.0,1881851.0,2018,02/26/2018 03:23,41.85333976,-87.50664724,
10000032,TM751590,08/15/2016 23:34,17XX W WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,311,6,8.0,4.0,02,1166188.0,1863939.0,2016,08/24/2016 23:34,41.9269954,-87.72862052,"(41.9269954, -87.72862052)"
10000033,UC685848,12/27/2022 21:04,59XX W WESTERN AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,CTA BUS,True,False,122,3,21.0,19.0,08B,1169045.0,1897791.0,2022,01/25/2023 21:04,41.86560941,-87.58635416,"(41.86560941, -87.58635416)"
10000034,ZP352621,04/26/2020 06:53,86XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GROCERY FOOD STORE,False,False,912,3,28.0,13.0,10,1166482.0,1859778.0,2020,04/29/2020 06:53,41.86593952,-87.63152408,"(41.86593952, -87.63152408)"
10000035,DQ072433,07/27/2022 18:01,85XX W HALSTED ST,1310,NARCOTICS,POSS: COCAINE,COMMERCIAL / BUSINESS OFFICE,True,False,112,25,45.0,35.0,17,1150305.0,1919589.0,2022,08/16/2022 18:01,41.78269541,-87.6980526,"(41.78269541, -87.6980526)"
10000036,FY772144,10/03/2019 15:28,51XX N MICHIGAN AVE,0750,THEFT,THEFT $500 AND UNDER,HOSPITAL BUILDING/GROUNDS,False,True,221,9,14.0,66.0,07,1176346.0,1874673.0,2019,10/17/2019 15:28,41.89346537,-87.62205972,"(41.89346537, -87.62205972)"
10000037,LC440872,03/18/2015 15:04,59XX E HALSTED ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,2011,11,37.0,55.0,18,1198309.0,1863749.0,2015,04/15/2015 15:04,41.77685456,-87.67849031,"(41.77685456, -87.67849031)"
10000038,DB432053,08/27/2016 10:09,83XX E MADISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,True,False,122,7,12.0,20.0,17,1187993.0,1885912.0,2016,09/05/2016 10:09,41.83823511,-87.57366625,"(41.83823511, -87.57366625)"
10000039,BS956393,07/05/2021 16:50,92XX N COTTAGE GROVE AVE,0730,THEFT,SHOPLIFTING,OTHER,False,False,412,2,29.0,74.0,09,1155175.0,1921930.0,2021,07/29/2021 16:50,41.73525832,-87.78143789,"(41.73525832, -87.78143789)"
10000040,QI179990,05/13/2022 22:38,11XX E NORTH AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2211,5,22.0,11.0,26,1183106.0,1860316.0,2022,06/10/2022 22:38,41.78306952,-87.60318358,"(41.78306952, -87.60318358)"
10000041,BJ796772,07/17/2016 08:18,99XX S GRAND AVE,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,True,False,1711,4,33.0,70.0,26,1168835.0,1862979.0,2016,08/14/2016 08:18,41.91989228,-87.76068529,"(41.91989228, -87.76068529)"
10000042,TH914924,08/21/2020 16:10,16XX E HALSTED ST,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,APARTMENT,True,True,612,7,39.0,18.0,15,1196714.0,1906912.0,2020,09/17/2020 16:10,41.8341772,-87.68863637,"(41.8341772, -87.68863637)"
10000043,VO751230,02/10/2016 20:41,3XX E PULASKI RD,0850,DECEPTIVE PRACTICE,FRAUD,OTHER,False,False,711,5,9.0,5.0,03,1173455.0,1899227.0,2016,02/21/2016 20:41,,-87.57234765,"(41.93933315, -87.57234765)"
10000044,WB337302,08/11/2016 12:00,71XX N NORTH AVE,0750,THEFT,THEFT $500 AND UNDER,SIDEWALK,False,False,1111,12,16.0,74.0,15,1197670.0,1893526.0,2016,08/31/2016 12:00,41.84704537,-87.69181887,"(41.84704537, -87.69181887)"
10000045,GT137831,09/27/2023 18:44,40XX W FULLERTON AVE,0320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,False,False,122,24,12.0,18.0,09,1189555.0,1920863.0,2023,10/13/2023 18:44,41.70109514,-87.7395227,"(41.70109514, -87.7395227)"
10000046,RJ083929,10/27/2020 11:05,78XX W COTTAGE GROVE AVE,0750,THEFT,THEFT $500 AND UNDER,RESIDENCE,False,False,2411,15,6.0,56.0,13,1166395.0,1873651.0,2020,11/20/2020 11:05,41.77812993,-87.76922063,"(41.77812993, -87.76922063)"
10000047,KQ217435,08/09/2022 20:02,74XX S CHICAGO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,912,3,16.0,47.0,03,1197441.0,1879761.0,2022,08/14/2022 20:02,41.87152845,-87.59628138,"(41.87152845, -87.59628138)"
10000048,ND217053,10/31/2015 15:57,82XX S CHICAGO AVE,0620,BURGLARY,UNLAWFUL ENTRY,HOSPITAL BUILDING/GROUNDS,False,False,911,16,6.0,41.0,26,1157875.0,1906765.0,2015,11/23/2015 15:57,41.77710868,-87.710013,"(41.77710868, -87.710013)"
10000049,NH192952,08/05/2019 20:04,56XX N WESTERN AVE,0560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,False,False,1211,11,42.0,10.0,04B,1177565.0,1897022.0,2019,08/10/2019 20:04,41.72850038,-87.55128388,"(41.72850038, -87.55128388)"
10000050,XO632844,07/06/2021 08:42,54XX N FULLERTON AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,ALLEY,False,True,113,22,22.0,73.0,17,1178838.0,1902090.0,2021,07/26/2021 08:42,41.70363854,-87.60756388,"(41.70363854, -87.60756388)"
10000051,ZX897119,11/15/2018 23:08,79XX W CICERO AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),RETAIL STORE,True,False,212,12,33.0,72.0,11,1154840.0,1873216.0,2018,12/10/2018 23:08,41.7702415,-87.72562434,"(41.7702415, -87.72562434)"
10000052,OF505729,02/26/2018 15:56,6XX W STATE ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,SIDEWALK,False,False,711,24,44.0,61.0,10,1186375.0,1911108.0,2018,03/25/2018 15:56,41.81927833,-87.53526328,"(41.81927833, -87.53526328)"
10000053,PN545403,10/03/2021 16:32,21XX W BROADWAY,0850,DECEPTIVE PRACTICE,FRAUD,CTA TRAIN,False,False,812,2,3.0,18.0,09,1156989.0,1924509.0,2021,10/05/2021 16:32,,-87.53206049,"(41.7346822, -87.53206049)"
10000054,AI164798,10/12/2023 23:37,5XX N PULASKI RD,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2211,8,47.0,7.0,07,1169009.0,1915732.0,2023,10/31/2023 23:37,41.90635485,-87.56761816,"(41.90635485, -87.56761816)"
10000055,IJ972163,02/26/2020 21:21,91XX S FULLERTON AVE,2830,CRIMINAL TRESPASS,TO RESIDENCE,GROCERY FOOD STORE,False,False,2511,12,44.0,34.0,08B,1197074.0,1928580.0,2020,03/15/2020 21:21,41.77370192,-87.71045025,"(41.77370192, -87.71045025)"
10000056,KS170594,11/16/2017 19:13,30XX N WESTERN AVE,0460,BATTERY,SIMPLE,CONVENIENCE STORE,True,False,621,19,18.0,72.0,19,1183491.0,1892483.0,2017,11/23/2017 19:13,41.86604915,-87.72726259,"(41.86604915, -87.72726259)"
10000057,OC929549,06/09/2021 10:47,5XX N BROADWAY,0560,ASSAULT,SIMPLE,CTA BUS,False,True,411,2,12.0,54.0,08B,1159315.0,1909920.0,2021,07/03/2021 10:47,41.94086096,-87.56361181,
10000058,JL235523,10/12/2018 20:36,32XX N CLARK ST,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,SIDEWALK,True,True,1121,7,12.0,52.0,09,1159239.0,1861248.0,2018,11/03/2018 20:36,41.71602133,-87.59922324,"(41.71602133, -87.59922324)"
10000059,RP755391,03/01/2022 22:18,86XX S CICERO AVE,0750,THEFT,THEFT $500 AND UNDER,BAR OR TAVERN,False,False,311,22,15.0,29.0,16,1185097.0,1923023.0,2022,03/13/2022 22:18,41.98665139,-87.68791255,"(41.98665139, -87.68791255)"
10000060,BI099090,06/25/2020 07:32,1XX S HALSTED ST,0740,THEFT,THEFT OVER $500,PARKING LOT / GARAGE(NON.RESID.),False,False,1611,2,30.0,17.0,08A,1165408.0,1851741.0,2020,07/10/2020 07:32,41.85763916,-87.59816969,"(41.85763916, -87.59816969)"
10000061,NV232971,03/27/2019 13:43,39XX W DIVISION ST,0750,THEFT,THEFT $500 AND UNDER,CTA TRAIN,False,False,221,19,9.0,45.0,01A,1161134.0,1850277.0,2019,04/18/2019 13:43,41.84865276,-87.58164256,"(41.84865276, -87.58164256)"
10000062,HD623098,07/15/2022 19:03,41XX E CICERO AVE,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA TRAIN,True,False,521,2,26.0,57.0,17,1199674.0,1868732.0,2022,07/23/2022 19:03,41.92281909,-87.75795933,"(41.92281909, -87.75795933)"
10000063,GF698071,07/31/2019 08:24,68XX S NORTH AVE,0740,THEFT,THEFT OVER $500,OTHER,False,False,521,19,31.0,31.0,16,1178119.0,1927422.0,2019,08/06/2019 08:24,41.93173285,-87.52557765,"(41.93173285, -87.52557765)"
10000064,IJ848773,09/25/2018 12:58,49XX W CHICAGO AVE,0750,THEFT,THEFT $500 AND UNDER,GAS STATION,False,False,1411,7,13.0,16.0,08B,1161966.0,1875729.0,2018,09/26/2018 12:58,41.90113057,-87.68101038,"(41.90113057, -87.68101038)"
10000065,EU174956,09/07/2019 12:12,95XX W GRAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,STREET,False,False,611,8,25.0,73.0,19,1191079.0,1927320.0,2019,09/18/2019 12:12,,-87.72280197,"(41.89545398, -87.72280197)"
10000066,NH908689,10/06/2015 19:00,53XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,121,18,30.0,48.0,16,1174392.0,1850528.0,2015,10/13/2015 19:00,41.87495581,-87.65503875,"(41.87495581, -87.65503875)"
10000067,XX296529,07/22/2019 15:15,56XX E WESTERN AVE,1310,NARCOTICS,POSS: COCAINE,RESTAURANT,True,False,113,8,20.0,11.0,14,1150472.0,1863710.0,2019,08/14/2019 15:15,41.85581043,-87.78316552,"(41.85581043, -87.78316552)"
10000068,BL837937,06/09/2023 20:52,89XX N CHICAGO AVE,0460,BATTERY,SIMPLE,,True,False,2011,3,20.0,21.0,04B,1166586.0,1910448.0,2023,06/22/2023 20:52,41.80674698,-87.53104227,"(41.80674698, -87.53104227)"
10000069,JH114540,05/30/2022 13:49,1XX E GRAND AVE,0800,ARSON,AGGRAVATED,RESIDENCE,True,False,211,10,16.0,10.0,03,1169481.0,,2022,06/19/2022 13:49,41.92516708,-87.75371693,"(41.92516708, -87.75371693)"
10000070,YS464103,04/10/2021 21:15,10XX E CLARK ST,1240,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,True,False,321,18,11.0,49.0,14,1171733.0,1883688.0,2021,04/29/2021 21:15,41.83793718,-87.78101985,"(41.83793718, -87.78101985)"
10000071,CO556594,08/06/2018 17:44,36XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,CTA BUS,False,False,1022,17,21.0,23.0,11,1178793.0,1869393.0,2018,08/13/2018 17:44,41.89848733,-87.65269781,"(41.89848733, -87.65269781)"
10000072,SV591261,05/25/2018 10:42,54XX N CHICAGO AVE,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,COMMERCIAL / BUSINESS OFFICE,False,True,1211,15,25.0,10.0,26,1175330.0,1923631.0,2018,05/30/2018 10:42,41.83377041,-87.67975847,
10000073,KZ191342,11/25/2017 10:47,62XX N BROADWAY,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CONVENIENCE STORE,True,False,521,19,38.0,74.0,01A,1175023.0,1877597.0,2017,12/12/2017 10:47,41.92170267,-87.62342301,
10000074,AP153727,11/06/2018 18:43,24XX W NORTH AVE,0910,VANDALISM,CRIMINAL DAMAGE,RESIDENCE,True,False,1711,6,48.0,32.0,05,1161592.0,1882403.0,2018,12/02/2018 18:43,41.85795469,-87.51246121,"(41.85795469, -87.51246121)"
10000075,IG131355,06/27/2020 16:40,76XX N ASHLAND AVE,0910,VANDALISM,CRIMINAL DAMAGE,CONVENIENCE STORE,True,False,2211,22,25.0,51.0,18,1183679.0,1914049.0,2020,07/08/2020 16:40,41.82735818,-87.74824175,"(41.82735818, -87.74824175)"
10000076,CA722514,07/12/2018 20:39,57XX W COTTAGE GROVE AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),CONVENIENCE STORE,True,False,311,12,1.0,63.0,26,1170456.0,1889338.0,2018,07/14/2018 20:39,41.85847462,-87.60407907,"(41.85847462, -87.60407907)"
10000077,WP467885,06/20/2015 19:28,31XX S CHICAGO AVE,0460,BATTERY,SIMPLE,OTHER,False,False,611,7,28.0,14.0,04A,1190836.0,1885125.0,2015,07/08/2015 19:28,41.8249197,-87.69542691,"(41.8249197, -87.69542691)"
10000078,QJ077476,08/14/2022 20:08,63XX S CLARK ST,0740,THEFT,THEFT OVER $500,CTA BUS,False,False,311,15,4.0,36.0,11,,1917484.0,2022,09/08/2022 20:08,41.73387303,-87.70337099,"(41.73387303, -87.70337099)"
10000079,CU418409,06/13/2022 18:54,44XX N STATE ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE(NON.RESID.),False,False,1121,19,26.0,28.0,14,1177365.0,1860447.0,2022,06/16/2022 18:54,41.78685954,-87.71492208,"(41.78685954, -87.71492208)"
10000080,AI186420,06/14/2022 21:10,88XX W MICHIGAN AVE,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,False,True,521,14,41.0,40.0,15,1153896.0,1897494.0,2022,06/16/2022 21:10,41.7185551,-87.73597365,"(41.7185551, -87.73597365)"
10000081,TP393120,08/08/2016 06:36,12XX N ASHLAND AVE,0312,ROBBERY,ARMED: HANDGUN,OTHER,False,False,1211,22,42.0,22.0,06,1180803.0,,2016,08/09/2016 06:36,41.91448065,-87.52403176,"(41.91448065, -87.52403176)"
10000082,WO367970,10/21/2021 16:47,41XX S NORTH AVE,0750,THEFT,THEFT $500 AND UNDER,RESTAURANT,False,True,611,10,42.0,7.0,10,1176414.0,1928215.0,2021,11/03/2021 16:47,41.83987476,-87.62182107,"(41.83987476, -87.62182107)"
10000083,SS800446,10/01/2019 18:05,51XX N BROADWAY,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,ALLEY,True,True,621,19,35.0,20.0,09,1198715.0,1862430.0,2019,10/22/2019 18:05,41.71370647,-87.52372254,"(41.71370647, -87.52372254)"
10000084,MO321572,01/31/2023 11:23,59XX E STATE ST,0750,THEFT,THEFT $500 AND UNDER,STREET,False,False,112,9,47.0,,14,1198752.0,1900202.0,2023,02/05/2023 11:23,41.84715626,-87.7211151,"(41.84715626, -87.7211151)"
10000085,UZ904283,05/25/2015 16:58,7XX S CICERO AVE,0750,THEFT,THEFT $500 AND UNDER,APARTMENT,False,False,811,24,27.0,29.0,20,1178576.0,1859552.0,2015,06/17/2015 16:58,41.78598054,-87.5522009,"(41.78598054, -87.5522009)"
10000086,CN240970,08/31/2023 19:46,1XX W BROADWAY,0910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,True,False,312,19,49.0,32.0,09,1191978.0,1920175.0,2023,09/29/2023 19:46,41.75989932,-87.69607289,"(41.75989932, -87.69607289)"
10000087,YD711431,06/04/2019 06:36,35XX S HALSTED ST,0312,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,True,False,611,15,43.0,17.0,13,1191594.0,1876100.0,2019,06/06/2019 06:36,41.96781259,-87.6821142,"(41.96781259, -87.6821142)"
10000088,MU108918,10/07/2021 03:53,58XX S WESTERN AVE,0850,DECEPTIVE PRACTICE,FRAUD,RESIDENCE,False,False,611,11,10.0,12.0,11,1191004.0,,2021,11/04/2021 03:53,41.70468519,-87.71034779,"(41.70468519, -87.71034779)"
10000089,XH416664,06/11/2016 07:54,23XX E PULASKI RD,0730,THEFT,SHOPLIFTING,CONVENIENCE STORE,True,False,1221,11,8.0,6.0,12,1174806.0,1880618.0,2016,07/08/2016 07:54,41.81994691,-87.58267075,"(41.81994691, -87.58267075)"
10000090,NT991628,12/30/2023 16:01,36XX N FULLERTON AVE,0460,BATTERY,SIMPLE,STREET,False,False,1511,12,31.0,70.0,01A,1151303.0,1897769.0,2023,01/12/2024 16:01,41.78648133,-87.71886929,"(41.78648133, -87.71886929)"
10000091,MC225092,12/12/2016 09:37,70XX E COTTAGE GROVE AVE,0910,VANDALISM,CRIMINAL DAMAGE,ALLEY,False,False,911,12,38.0,4.0,14,1199400.0,,2016,12/23/2016 09:37,41.85893267,-87.7435299,"(41.85893267, -87.7435299)"
10000092,SO863683,11/25/2020 21:04,84XX E COTTAGE GROVE AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),RETAIL STORE,True,False,212,25,26.0,76.0,14,1171843.0,1901141.0,2020,12/07/2020 21:04,41.9827582,-87.58029439,"(41.9827582, -87.58029439)"
10000093,AF637704,05/13/2015 09:20,91XX E GRAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,ALLEY,False,False,212,22,15.0,73.0,03,1199118.0,1863430.0,2015,06/12/2015 09:20,41.913603,-87.72860122,"(41.913603, -87.72860122)"
10000094,PP409181,04/20/2022 19:14,71XX N MADISON ST,1240,NARCOTICS,POSS: HEROIN(WHITE),VEHICLE NON-COMMERCIAL,True,False,711,16,5.0,5.0,03,1194396.0,1862872.0,2022,04/26/2022 19:14,41.72141751,-87.69745754,"(41.72141751, -87.69745754)"
10000095,MD748263,01/28/2016 04:36,22XX E HALSTED ST,0610,BURGLARY,FORCIBLE ENTRY,PARK PROPERTY,True,True,912,17,10.0,7.0,06,1174016.0,1857758.0,2016,02/15/2016 04:36,41.93716919,-87.61247271,"(41.93716919, -87.61247271)"
10000096,MC975986,06/09/2023 18:06,88XX W CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,SIDEWALK,False,False,1111,25,23.0,70.0,16,1190920.0,1883490.0,2023,06/12/2023 18:06,41.85608057,-87.54776085,"(41.85608057, -87.54776085)"
10000097,UQ544157,11/17/2015 23:27,67XX W MICHIGAN AVE,0730,THEFT,SHOPLIFTING,SIDEWALK,False,False,612,24,10.0,77.0,08A,1177818.0,1894164.0,2015,11/24/2015 23:27,41.9322031,-87.77389177,"(41.9322031, -87.77389177)"
